seed,opponent,seat,arm,source_text_sha256,opponent_source_text_sha256,cash_self,cash_opponent,margin,steps,policy_calls,saved_action_mismatch,saved_observation_mismatch,seconds,trace,trace_sha256,bself,bopp,bmargin,bresult,mself,mopp,mmargin,mresult,points,delta_points_vs_B1,delta_points_vs_M20,delta_margin_vs_B1,delta_margin_vs_M20,delta_self_vs_B1,delta_opp_vs_B1,result,transition_vs_B1,transition_vs_M20
612609241,v57,1,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,107076.0,106256.0,820.0,719,1438,,,2.604867321000029,reactive_consensus_traces/612609241_v57_seat1_alt_two_votes.json.gz,f6e0923c51cc886c229c41565cfcb34a0d2f12a8cec3ba7c2787f554b14ec5b4,107076.0,106256.0,820.0,W,107076.0,106256.0,820.0,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,W,W->W,W->W
612609241,v57,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,107076.0,106256.0,820.0,719,1438,,,2.6264104549999274,reactive_consensus_traces/612609241_v57_seat0_alt_two_votes.json.gz,e6c46c32e2083c9b33a3253cf4e849870438504c4c9df3e8bc069c96d4e4914d,107076.0,106256.0,820.0,W,107076.0,106256.0,820.0,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,W,W->W,W->W
612609241,B1,1,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,107939.0,107545.0,394.0,719,1438,,,2.6584324819999665,reactive_consensus_traces/612609241_B1_seat1_alt_two_votes.json.gz,19488b849f847ab7b1872c7db2dca5376acd154d55fa9aa51ff47ab973f705b4,107437.0,107437.0,0.0,T,107543.0,107639.0,-96.0,L,1.0,0.5,1.0,394.0,490.0,502.0,108.0,W,T->W,L->W
612609241,B1,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,107939.0,107545.0,394.0,719,1438,,,2.8803327120000404,reactive_consensus_traces/612609241_B1_seat0_alt_two_votes.json.gz,6175a30df3621a3369690186496b213525cd4a93cb49fa14728c4bb5b71f6dbe,107437.0,107437.0,0.0,T,107543.0,107639.0,-96.0,L,1.0,0.5,1.0,394.0,490.0,502.0,108.0,W,T->W,L->W
612609241,order_book,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a16e0e9b40c489972630a0b9d04f30e9c1cab03159fa78676db74277d84d82ab,107947.0,107522.0,425.0,719,1438,,,2.2164416260000053,reactive_consensus_traces/612609241_order_book_seat0_alt_two_votes.json.gz,4b8dc9e949957a38213bbb1f167a0eac46514664b2b438e4d2cdbd7c212f994a,107443.0,107414.0,29.0,W,107549.0,107616.0,-67.0,L,1.0,0.0,1.0,396.0,492.0,504.0,108.0,W,W->W,L->W
612609241,metav4,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,107113.0,106123.0,990.0,719,1438,,,2.329606220999949,reactive_consensus_traces/612609241_metav4_seat0_alt_two_votes.json.gz,1e06ebe0de4ceb0fe9265074c7eb61c955518e2b65a443112ce5f1f96e99c6ef,107113.0,106123.0,990.0,W,107113.0,106123.0,990.0,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,W,W->W,W->W
612609241,metav4,1,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,9d63494603f88219857a3101d7dc19cc750ded04e5886732ee428580326967d9,107113.0,106123.0,990.0,719,1438,,,2.3889532720000943,reactive_consensus_traces/612609241_metav4_seat1_alt_two_votes.json.gz,e1ac3e1d030e3736ddcb4c6c51e4e3705f8b345723964aaadcfc31f70920f4e0,107113.0,106123.0,990.0,W,107113.0,106123.0,990.0,W,1.0,0.0,0.0,0.0,0.0,0.0,0.0,W,W->W,W->W
612609241,order_book,1,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a16e0e9b40c489972630a0b9d04f30e9c1cab03159fa78676db74277d84d82ab,107947.0,107522.0,425.0,719,1438,,,2.6407935890000545,reactive_consensus_traces/612609241_order_book_seat1_alt_two_votes.json.gz,9ca81adfe295b3375dec8e9f7e02405779e9d87a476ad6c12d6b51e6d8d480e1,107443.0,107414.0,29.0,W,107549.0,107616.0,-67.0,L,1.0,0.0,1.0,396.0,492.0,504.0,108.0,W,W->W,L->W
612609242,B1,0,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,109224.0,109222.0,2.0,719,1438,,,2.7217522519999875,reactive_consensus_traces/612609242_B1_seat0_alt_two_votes.json.gz,30b226112d3223d85f7336db4bd0641cdcc50684eca4527e2f66c180df01170d,109222.0,109222.0,0.0,T,109207.0,109210.0,-3.0,L,1.0,0.5,1.0,2.0,5.0,2.0,0.0,W,T->W,L->W
612609242,B1,1,alt_two_votes,0683788d7ce83464f7da1d8e91f5037d8e6b656d381e9fee1d30f20f0fd73fba,a89943d84da23261883150712c5925b65c676c28c03a6b96aee14dad7a59454a,109224.0,109222.0,2.0,719,1438,,,2.5929691050000656,reactive_consensus_traces/612609242_B1_seat1_alt_two_votes.json.gz,ab8764d0c4d5f861a0fd442f363c1272586338197bc103d1ea90c5be98321146,109222.0,109222.0,0.0,T,109207.0,109210.0,-3.0,L,1.0,0.5,1.0,2.0,5.0,2.0,0.0,W,T->W,L->W
