replay,family,step,seat,candidate_count,true_immediate_revenue,choices,hindsight_gain_vs_c0,b1_gain_vs_c0,simple_gain_vs_c0,scope
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,264,0,2,"[2224.0, 2052.0]","{'c0': 0, 'simple': 1, 'b1': 0, 'hindsight': 0}",0.0,0.0,-172.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,427,0,2,"[4106.0, 4094.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,455,0,2,"[1607.0, 1607.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,457,0,2,"[1820.0, 1977.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 1}",157.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,485,0,2,"[357.0, 357.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,498,0,2,"[5129.0, 5098.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,505,0,2,"[1410.0, 1335.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,549,0,2,"[1208.0, 1208.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,555,0,2,"[34.0, 34.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
experiments\learning_next_20260921\b_development_evaluation\replays\c0\mooman_e052a\seed_2026092311_seat_0.json.gz,mooman_e052a,559,0,2,"[2643.0, 2643.0]","{'c0': 0, 'simple': 0, 'b1': 0, 'hindsight': 0}",0.0,0.0,0.0,"same-turn, same candidate set; not a game-level counterfactual"
